Startup,Product,Funding,Event,Result,OperatingState,,,,Audience choice,Operating,,Funding
Vantage Robotics,vantagerobotics.com,,Hardware Battlefield 2016,Contestant,Operating,,,,,,,
Vault,getvault.com,$1.6M,Disrupt London 2016,Audience choice,Operating,,,,,,,
Venneos GmbH,venneos.com,$1.1M,-,Contestant,Operating,,,,,,,
Verious,verious.com,$800K,Disrupt SF 2011,Contestant,Closed,,,,,,,
Veyo Care,veyo-care.com,$830.2K,Disrupt London 2015,Contestant,Operating,,,,,,,
VIDA,vida.fm,,Disrupt Beijing 2011,Contestant,Closed,,,,,,,
VideoSurf,videosurf.com,$28M,TC50 2008,Contestant,Acquired,,,,,,,
Viewdle,viewdle.com,$12M,TC40 2007,Contestant,Acquired,,,,,,,
Vimo Labs,trackmy.fit,$1M,Disrupt NY 2015,Contestant,Operating,,,,,,,
Vinli,vin.li,$6.5M,Disrupt SF 2014,Finalist,Operating,,,,,,,
Vinylmint,vinylmint.com,$26.7K,Disrupt NYC 2012,Contestant,Operating,,,,,,,
VisibleGains,visiblegains.com,$4.5M,Disrupt NYC 2012,Contestant,Operating,,,,,,,
VIVE,vive.co,$2.3M,Disrupt NY 2015,Contestant,Operating,,,,,,,
voicesphere,voice-sphere.com,,Disrupt EU 2013,Finalist,Operating,,,,,,,
Voltera,voltera.io,$55K,Hardware Battlefield 2015,Winner,Operating,,,,,,,
Voxel,voxel.net,$7.1M,Disrupt SF 2013,Contestant,Operating,,,,,,,
Voxy,voxy.com,$30.8M,Disrupt SF 2010,Contestant,Operating,,,,,,,
Vurb,vurb.com,$10M,Disrupt NYC 2014,Winner,Acquired,,,,,,,
WakaTime,wakatime.com,,Disrupt SF 2015,Contestant,Operating,,,,,,,
Wanderio,wanderio.com,$275K,Disrupt EU 2013,Contestant,Operating,,,,,,,
WaterO,wateropurifier.com,$85.7K,Disrupt NY 2016,Runner up,Operating,,,,,,,
WAZER,wazer.com,$1.4M,Disrupt SF 2016,Contestant,Operating,,,,,,,
WEconnect,weconnectrecovery.com,$2.1M,Disrupt SF 2016,Audience choice,Operating,,,,,,,
WeDemand,wedemand.com,$1M,Disrupt SF 2012,Contestant,Operating,,,,,,,
Wellth,wellthapp.com,$2.5M,Disrupt NY 2015,Contestant,Operating,,,,,,,
Wellthy,wellthy.com,$2M,Disrupt SF 2015,Contestant,Operating,,,,,,,
Welltwigs,welltwigs.com,$50K,Disrupt NY 2015,Contestant,Operating,,,,,,,
Weotta,weotta.com,,Disrupt NYC 2011,Contestant,Operating,,,,,,,
What Now Travel,whatnowtravel.com,,Disrupt EU 2013,Contestant,Operating,,,,,,,
Wiivv,wiivv.com,$12.2M,Hardware Battlefield 2016,Runner up,Operating,,,,,,,
Wixi,wixi.com,,TC40 2007,Contestant,Closed,,,,,,,
WooMe,woome.com,$17.4M,TC40 2007,Finalist,Acquired,,,,,,,
Workspot,workspot.com,$15.8M,Disrupt NYC 2013,Contestant,Operating,,,,,,,
Xendo,xendo.com,$28K,Disrupt SF 2014,Contestant,Acquired,,,,,,,
Xobni,yahoo.com,$41.8M,TC40 2007,Contestant,Acquired,,,,,,,
Yammer,yammer.com,$142M,TC50 2008,Winner,Acquired,,,,,,,
Yap,yapme.com,$10M,TC40 2007,Contestant,Closed,,,,,,,
YayPay Inc,yaypay.com,$900K,Disrupt London 2015,Contestant,Operating,,,,,,,
Yext,yext.com,$117.8M,TC50 2009,Contestant,Ipo,,,,,,,
YOOBIC,yoobic.com,,Disrupt London 2015,Finalist,Operating,,,,,,,
YouNow,younow.com,$26M,Disrupt SF 2011,Contestant,Operating,,,,,,,
YourMechanic,yourmechanic.com,$28M,Disrupt SF 2012,Winner,Operating,,,,,,,
YourVersion,yourversion.com,,TC50 2009,Audience choice,Operating,,,,,,,
Yuwan,iyuwan.cn,,Disrupt Beijing 2011,Contestant,Closed,,,,,,,
ZAP!,zapreklam.com/,,Disrupt EU 2014,Audience choice,Operating,,,,,,,
ZEFR,zefr.com,$62.1M,Disrupt NYC 2010,Contestant,Operating,,,,,,,
Zello,zello.com,,TC40 2007,Contestant,Operating,,,,,,,
Zenefits,zenefits.com,$583.6M,Disrupt NYC 2013,Finalist,Operating,,,,,,,
Zivity,zivity.com,$8M,TC40 2007,Contestant,Operating,,,,,,,
Zmorph,zmorph3d.com,$1M,-,Audience choice,Operating,,,,,,,
Zocdoc,zocdoc.com,$223M,TC40 2007,Contestant,Operating,,,,,,,
Zula,zulaapp.com,$3.4M,Disrupt SF 2013,Audience choice,Operating,,,,,,,
Zumper,zumper.com,$31.5M,Disrupt SF 2012,Finalist,Operating,,,,,,,
