Startup,Product,Funding,Event,Result,OperatingState,,,,Audience choice,Operating,,Funding
CallApp,callapp.com,$5M,Disrupt NYC 2012,Contestant,Operating,,,,,,,$485K
"Calliope Waterworks, Inc.",calliopewater.com,$60K,Hardware Battlefield 2016,Contestant,Operating,,,,,,,$8M
Carbon Health,carbonhealth.com,$8.8M,Disrupt SF 2016,Finalist,Operating,,,,,,,$4.3M
Carbon Robotics,carbon.ai,$120K,Hardware Battlefield 2016,Finalist,Operating,,,,,,,$10M
CardFlick,cardflick.co,,Disrupt SF 2011,Audience choice,Closed,,,,,,,$34.6M
Cardify,cardify.me,,Disrupt NYC 2012,Contestant,Operating,,,,,,,$16.3M
Careticker,careticker.com,,Disrupt SF 2012,Contestant,Operating,,,,,,,$2.4M
CareZapp,carezapp.com,,Disrupt EU 2014,Contestant,Operating,,,,,,,$650K
"Caruma Technologies, Inc.",caruma.tech,$2M,Disrupt London 2015,Contestant,Operating,,,,,,,$35.5M
Case,choosecase.com,$2.3M,Disrupt NY 2015,Contestant,Operating,,,,,,,$15.4M
CastTV,casttv.com,$3.1M,TC40 2007,Contestant,Acquired,,,,,,,$18.2M
CatchFree,catchfree.com,$5.5M,Disrupt NYC 2011,Contestant,Closed,,,,,,,$30.1M
Causecast,causecast.com,,TC50 2008,Contestant,Operating,,,,,,,$26M
Ceedo Technologies,ceedo.com,$4.5M,TC40 2007,Contestant,Operating,,,,,,,$1.2M
CENTURY Tech,century-techinc.com,$2.2M,Disrupt London 2016,Contestant,Operating,,,,,,,$790.6K
ChompOn,chompon.com,,Disrupt NYC 2010,Contestant,Operating,,,,,,,$66M
Chronos Mobile Technologies,chronosmobiletechnologies.com,,Disrupt SF 2012,Contestant,Acquired,,,,,,,$28.3M
Churn Labs,churnlabs.com,,Disrupt NYC 2011,Contestant,Closed,,,,,,,$6.4M
Chyngle,chyngle.com,,TC50 2009,Audience choice,Closed,,,,,,,$8.2M
Cinder,cindercooks.com,$496K,Disrupt SF 2014,Contestant,Operating,,,,,,,$5K
CitySourced,citysourced.com,$1.4M,TC50 2009,Finalist,Operating,,,,,,,$310.5K
CLASEMOVIL,clasemovil.com,$350K,TC50 2009,Contestant,Closed,,,,,,,$11.3M
Clickable,clickable.com,$32.5M,TC40 2007,Finalist,Acquired,,,,,,,$3.8M
Clicker,clicker.com,$19M,TC50 2009,Contestant,Acquired,,,,,,,$700K
ClientShow,clientshow.com,$750K,TC50 2009,Contestant,Closed,,,,,,,$103M
Clixtr,focallabs.com,,TC50 2009,Contestant,Operating,,,,,,,$334.6K
Closet Couture,closetcouture.com,$475K,TC50 2008,Contestant,Closed,,,,,,,$25.9M
Cloudflare,cloudflare.com,$182.1M,Disrupt SF 2010,Runner up,Operating,,,,,,,$755.9K
